Spider VIP Firmware - Signature Map
File: F:\Satelite\Spider VIP\SPIDER-VIP_v1.00.92_20260507.mupg
Size: 530,280,116 bytes

== Header ==
upgrade_type  : all
0x0000182102  ext2/3/4 superblock magic (@0x438)
0x0000182485  ext2/3/4 superblock magic (@0x438)
0x000018A975  ext2/3/4 superblock magic (@0x438)
0x0000192E8C  ext2/3/4 superblock magic (@0x438)
0x00001A1A41  ext2/3/4 superblock magic (@0x438)
0x00001A3B1E  ext2/3/4 superblock magic (@0x438)
0x00001BE77D  possible logo/boot image marker
0x00001BEAE8  uImage (U-Boot legacy)
0x00001BF4AC  FDT / Device Tree Blob (DTB)
0x00001C3B48  lzma stream
0x00001C5BB4  ext2/3/4 superblock magic (@0x438)
0x00001C5E6A  JFFS2 node (big-endian)
0x00001C948D  JFFS2 node (little-endian)
0x00001CC8B7  JFFS2 node (little-endian)
0x00001CC8FE  JFFS2 node (big-endian)
0x00001CCAB9  JFFS2 node (big-endian)
0x00001CEED6  JFFS2 node (little-endian)
0x00001D66B6  JFFS2 node (little-endian)
0x00001DAB9E  ext2/3/4 superblock magic (@0x438)
0x00001E7987  ext2/3/4 superblock magic (@0x438)
0x00001E79E2  JFFS2 node (big-endian)
0x00001E8D4B  JFFS2 node (big-endian)
0x00001E9636  ext2/3/4 superblock magic (@0x438)
0x00001EE059  JFFS2 node (big-endian)
0x00001F837E  ext2/3/4 superblock magic (@0x438)
0x00001FB531  ext2/3/4 superblock magic (@0x438)
0x00001FBDFD  JFFS2 node (big-endian)
0x00001FC57F  ext2/3/4 superblock magic (@0x438)
0x0000213FD3  JFFS2 node (little-endian)
0x0000219767  ext2/3/4 superblock magic (@0x438)
0x000021BB11  ext2/3/4 superblock magic (@0x438)
0x000021E434  JFFS2 node (little-endian)
0x0000222309  JFFS2 node (big-endian)
0x0000229359  ext2/3/4 superblock magic (@0x438)
0x0000233ADE  JFFS2 node (big-endian)
0x000023F47A  ext2/3/4 superblock magic (@0x438)
0x00002527F2  ext2/3/4 superblock magic (@0x438)
0x000025D996  JFFS2 node (little-endian)
0x00002678F5  JFFS2 node (big-endian)
0x0000269696  JFFS2 node (big-endian)
0x000027A030  JFFS2 node (big-endian)
0x000027C898  JFFS2 node (little-endian)
0x000027F20D  JFFS2 node (little-endian)
0x0000286311  JFFS2 node (big-endian)
0x000028AFB1  JFFS2 node (little-endian)
0x000029932A  JFFS2 node (big-endian)
0x00002A7A73  JFFS2 node (big-endian)
0x00002A8295  JFFS2 node (little-endian)
0x00002B25E8  JFFS2 node (big-endian)
0x00002B70AE  JFFS2 node (big-endian)
0x00002BC460  JFFS2 node (little-endian)
0x00002C02E1  JFFS2 node (little-endian)
0x00002C64DD  JFFS2 node (big-endian)
0x00002D6BDF  ext2/3/4 superblock magic (@0x438)
0x00002E3525  ext2/3/4 superblock magic (@0x438)
0x00002E818E  JFFS2 node (little-endian)
0x00002EB14C  JFFS2 node (little-endian)
0x00002EC06D  ext2/3/4 superblock magic (@0x438)
0x00002F5751  JFFS2 node (little-endian)
0x0000308DA2  JFFS2 node (big-endian)
0x000030D484  JFFS2 node (little-endian)
0x00003109A2  JFFS2 node (little-endian)
0x0000315410  ext2/3/4 superblock magic (@0x438)
0x000031E784  ext2/3/4 superblock magic (@0x438)
0x0000322417  JFFS2 node (big-endian)
0x0000322815  JFFS2 node (little-endian)
0x00003251F1  JFFS2 node (little-endian)
0x0000328F0C  JFFS2 node (little-endian)
0x000032C7BA  JFFS2 node (little-endian)
0x00003327D9  ext2/3/4 superblock magic (@0x438)
0x0000337BC3  JFFS2 node (big-endian)
0x00003484EB  JFFS2 node (little-endian)
0x00003517AE  JFFS2 node (little-endian)
0x00003519A4  ext2/3/4 superblock magic (@0x438)
0x000035DC9F  JFFS2 node (little-endian)
0x0000362913  JFFS2 node (little-endian)
0x000036369B  JFFS2 node (little-endian)
0x00003657A1  JFFS2 node (little-endian)
0x000036903E  JFFS2 node (little-endian)
0x00003699A5  ext2/3/4 superblock magic (@0x438)
0x000036CD5F  JFFS2 node (big-endian)
0x000036E990  ext2/3/4 superblock magic (@0x438)
0x0000371498  JFFS2 node (big-endian)
0x0000371EB3  JFFS2 node (little-endian)
0x00003748BD  ext2/3/4 superblock magic (@0x438)
0x00003762A3  ext2/3/4 superblock magic (@0x438)
0x0000376519  JFFS2 node (big-endian)
0x0000382295  JFFS2 node (little-endian)
0x00003948C9  ext2/3/4 superblock magic (@0x438)
0x000039AFC2  ext2/3/4 superblock magic (@0x438)
0x000039E129  ext2/3/4 superblock magic (@0x438)
0x000039ED80  ext2/3/4 superblock magic (@0x438)
0x00003A3333  JFFS2 node (big-endian)
0x00003A6932  ext2/3/4 superblock magic (@0x438)
0x00003A7BE6  JFFS2 node (little-endian)
0x00003A82EB  JFFS2 node (little-endian)
0x00003ABCC4  JFFS2 node (little-endian)
0x00003B01C4  ext2/3/4 superblock magic (@0x438)
0x00003B129B  JFFS2 node (big-endian)
0x00003B14F9  JFFS2 node (big-endian)
0x00003B4223  JFFS2 node (little-endian)
0x00003B589F  ext2/3/4 superblock magic (@0x438)
0x00003C35A2  JFFS2 node (little-endian)
0x00003C4206  JFFS2 node (little-endian)
0x00003D5032  JFFS2 node (big-endian)
0x00003D5217  JFFS2 node (little-endian)
0x00003DAD84  ext2/3/4 superblock magic (@0x438)
0x00003DD30C  ext2/3/4 superblock magic (@0x438)
0x00003E50F2  JFFS2 node (little-endian)
0x00003E82A0  JFFS2 node (little-endian)
0x00003E8577  ext2/3/4 superblock magic (@0x438)
0x00003EC3D3  ext2/3/4 superblock magic (@0x438)
0x00003F9828  ext2/3/4 superblock magic (@0x438)
0x00003FA088  JFFS2 node (big-endian)
0x0000412913  JFFS2 node (little-endian)
0x0000417766  JFFS2 node (little-endian)
0x0000419CBD  JFFS2 node (big-endian)
0x000041C9E4  ext2/3/4 superblock magic (@0x438)
0x0000420A83  JFFS2 node (little-endian)
0x00004258D2  JFFS2 node (big-endian)
0x0000427669  ext2/3/4 superblock magic (@0x438)
0x000042A3B1  ext2/3/4 superblock magic (@0x438)
0x000043172C  ext2/3/4 superblock magic (@0x438)
0x0000432139  JFFS2 node (little-endian)
0x00004393F4  JFFS2 node (big-endian)
0x000043B705  JFFS2 node (big-endian)
0x000043E96E  JFFS2 node (big-endian)
0x00004402C5  ext2/3/4 superblock magic (@0x438)
0x000044301C  ext2/3/4 superblock magic (@0x438)
0x0000443C9A  ext2/3/4 superblock magic (@0x438)
0x0000444740  JFFS2 node (big-endian)
0x0000450A50  JFFS2 node (big-endian)
0x0000456806  ext2/3/4 superblock magic (@0x438)
0x000045D021  JFFS2 node (big-endian)
0x000046E00E  JFFS2 node (big-endian)
0x000047391C  JFFS2 node (big-endian)
0x0000473D08  ext2/3/4 superblock magic (@0x438)
0x0000475E1C  JFFS2 node (big-endian)
0x0000476131  JFFS2 node (big-endian)
0x0000477780  ext2/3/4 superblock magic (@0x438)
0x00004919EB  JFFS2 node (little-endian)
0x0000497D79  ext2/3/4 superblock magic (@0x438)
0x00004A6B19  ext2/3/4 superblock magic (@0x438)
0x00004A73F6  ext2/3/4 superblock magic (@0x438)
0x00004AB0D9  JFFS2 node (little-endian)
0x00004B45E6  ext2/3/4 superblock magic (@0x438)
0x00004B57D5  JFFS2 node (big-endian)
0x00004B7C47  JFFS2 node (little-endian)
0x00004BC8EF  JFFS2 node (little-endian)
0x00004C1286  ext2/3/4 superblock magic (@0x438)
0x00004C4F29  JFFS2 node (big-endian)
0x00004C5402  ext2/3/4 superblock magic (@0x438)
0x00004CD647  JFFS2 node (little-endian)
0x00004D77F3  JFFS2 node (big-endian)
0x00004E1AA1  JFFS2 node (little-endian)
0x00004E3EA0  JFFS2 node (little-endian)
0x00004E8E1A  JFFS2 node (little-endian)
0x00004E9011  JFFS2 node (little-endian)
0x00004ECA2E  JFFS2 node (little-endian)
0x00004F03E9  JFFS2 node (little-endian)
0x00004FAF4C  ext2/3/4 superblock magic (@0x438)
0x00005012BF  ext2/3/4 superblock magic (@0x438)
0x0000501AF6  ext2/3/4 superblock magic (@0x438)
0x0000505B11  JFFS2 node (little-endian)
0x000050768E  ext2/3/4 superblock magic (@0x438)
0x0000508AF8  JFFS2 node (little-endian)
0x0000512AC1  JFFS2 node (big-endian)
0x0000516096  ext2/3/4 superblock magic (@0x438)
0x000051F0D9  JFFS2 node (little-endian)
0x00005209B7  JFFS2 node (little-endian)
0x0000522609  JFFS2 node (big-endian)
0x000052A309  JFFS2 node (big-endian)
0x0000536C5D  JFFS2 node (big-endian)
0x0000538212  JFFS2 node (big-endian)
0x000053CD0E  ext2/3/4 superblock magic (@0x438)
0x000053E1BB  JFFS2 node (big-endian)
0x000053FC17  JFFS2 node (big-endian)
0x0000548DA7  JFFS2 node (little-endian)
0x0000549CA9  JFFS2 node (little-endian)
0x000054EA09  JFFS2 node (little-endian)
0x000054EEB9  JFFS2 node (big-endian)
0x000055A74F  JFFS2 node (big-endian)
0x000055C2D6  JFFS2 node (little-endian)
0x00005696D3  ext2/3/4 superblock magic (@0x438)
0x00005710A3  JFFS2 node (little-endian)
0x0000571691  JFFS2 node (big-endian)
0x0000571AFB  JFFS2 node (little-endian)
0x000057C685  JFFS2 node (big-endian)
0x000057DFDC  JFFS2 node (big-endian)
0x000058446D  JFFS2 node (big-endian)
0x0000587A8B  JFFS2 node (big-endian)
0x000058E624  JFFS2 node (big-endian)
0x000058ED82  JFFS2 node (little-endian)
0x0000597CB4  JFFS2 node (big-endian)
0x0000598E88  JFFS2 node (big-endian)
0x0000598E89  JFFS2 node (little-endian)
0x0000599119  ext2/3/4 superblock magic (@0x438)
0x000059A825  JFFS2 node (big-endian)
0x000059B31A  JFFS2 node (little-endian)
0x000059E02B  JFFS2 node (little-endian)
0x00005AB776  JFFS2 node (big-endian)
0x00005AC9C4  JFFS2 node (big-endian)
0x00005B1F75  ext2/3/4 superblock magic (@0x438)
0x00005B517F  JFFS2 node (big-endian)
0x00005B7420  JFFS2 node (big-endian)
0x00005D2724  JFFS2 node (big-endian)
0x00005DFA53  ext2/3/4 superblock magic (@0x438)
0x00005E5D47  JFFS2 node (little-endian)
0x00005EC670  JFFS2 node (little-endian)
0x00005EE3CC  JFFS2 node (little-endian)
0x00005F4E76  JFFS2 node (big-endian)
0x00005FADC2  ext2/3/4 superblock magic (@0x438)
0x00006051CA  ext2/3/4 superblock magic (@0x438)
0x0000606555  JFFS2 node (big-endian)
0x000060AC19  ext2/3/4 superblock magic (@0x438)
0x000060F40A  JFFS2 node (big-endian)
0x000061031A  JFFS2 node (little-endian)
0x0000614F63  ext2/3/4 superblock magic (@0x438)
0x0000618EC9  ext2/3/4 superblock magic (@0x438)
0x0000623273  ext2/3/4 superblock magic (@0x438)
0x0000626B05  JFFS2 node (big-endian)
0x000062B17D  JFFS2 node (big-endian)
0x0000632DC5  JFFS2 node (big-endian)
0x00006355E1  JFFS2 node (big-endian)
0x000063C44C  JFFS2 node (little-endian)
0x0000642697  JFFS2 node (little-endian)
0x000064D042  JFFS2 node (big-endian)
0x00006558AE  JFFS2 node (big-endian)
0x000065A817  ext2/3/4 superblock magic (@0x438)
0x000065C74C  JFFS2 node (little-endian)
0x0000660DD6  ext2/3/4 superblock magic (@0x438)
0x000066364F  ext2/3/4 superblock magic (@0x438)
0x0000664B00  JFFS2 node (little-endian)
0x00006671DF  ext2/3/4 superblock magic (@0x438)
0x00006691D0  JFFS2 node (little-endian)
0x000066C6B2  ext2/3/4 superblock magic (@0x438)
0x000066CD06  ext2/3/4 superblock magic (@0x438)
0x000066E513  ext2/3/4 superblock magic (@0x438)
0x00006747D1  ext2/3/4 superblock magic (@0x438)
0x00006796E3  ext2/3/4 superblock magic (@0x438)
0x000067C7D0  JFFS2 node (big-endian)
0x0000682E93  JFFS2 node (big-endian)
0x0000683CD0  JFFS2 node (big-endian)
0x0000685D33  JFFS2 node (little-endian)
0x00006946F7  ext2/3/4 superblock magic (@0x438)
0x00006B12F3  ext2/3/4 superblock magic (@0x438)
0x00006B3BAB  JFFS2 node (big-endian)
0x00006B9638  ext2/3/4 superblock magic (@0x438)
0x00006C2B2C  JFFS2 node (little-endian)
0x00006C6E99  JFFS2 node (little-endian)
0x00006CA18D  JFFS2 node (big-endian)
0x00006DFBC8  JFFS2 node (big-endian)
0x00006EAD36  ext2/3/4 superblock magic (@0x438)
0x00006F3C00  ext2/3/4 superblock magic (@0x438)
0x00006F8744  JFFS2 node (little-endian)
0x0000701D96  JFFS2 node (big-endian)
0x00007142D6  JFFS2 node (big-endian)
0x00007148E9  ext2/3/4 superblock magic (@0x438)
0x00007150F9  ext2/3/4 superblock magic (@0x438)
0x0000718D20  ext2/3/4 superblock magic (@0x438)
0x000071B936  ext2/3/4 superblock magic (@0x438)
0x0000728DE6  JFFS2 node (little-endian)
0x000072937D  JFFS2 node (little-endian)
0x00007399BC  ext2/3/4 superblock magic (@0x438)
0x0000740B4E  ext2/3/4 superblock magic (@0x438)
0x0000759F8A  ext2/3/4 superblock magic (@0x438)
0x0000779916  ext2/3/4 superblock magic (@0x438)
0x000077F5BD  JFFS2 node (little-endian)
0x000077F7A0  JFFS2 node (big-endian)
0x0000784EE5  JFFS2 node (little-endian)
0x00007899FE  JFFS2 node (big-endian)
0x000078BB6B  ext2/3/4 superblock magic (@0x438)
0x000078BB7C  JFFS2 node (little-endian)
0x000078EE96  JFFS2 node (big-endian)
0x000079118D  JFFS2 node (little-endian)
0x0000791DFD  ext2/3/4 superblock magic (@0x438)
0x000079575C  ext2/3/4 superblock magic (@0x438)
0x0000798752  JFFS2 node (big-endian)
0x0000799AD9  JFFS2 node (big-endian)
0x000079C39F  ext2/3/4 superblock magic (@0x438)
0x00007A328C  JFFS2 node (big-endian)
0x00007A6F1E  JFFS2 node (big-endian)
0x00007A72D6  JFFS2 node (big-endian)
0x00007A737B  JFFS2 node (little-endian)
0x00007A932F  JFFS2 node (big-endian)
0x00007AC16E  lzma stream
0x00007ADF7D  ext2/3/4 superblock magic (@0x438)
0x00007B0AC1  JFFS2 node (little-endian)
0x00007B42EE  JFFS2 node (little-endian)
0x00007BAE0D  JFFS2 node (big-endian)
0x00007C94A1  JFFS2 node (big-endian)
0x00007CB882  ext2/3/4 superblock magic (@0x438)
0x00007CC8BB  bzip2 stream
0x00007D170A  ext2/3/4 superblock magic (@0x438)
0x00007D48E4  JFFS2 node (big-endian)
0x00007D8E36  JFFS2 node (big-endian)
0x00007DCCF1  ext2/3/4 superblock magic (@0x438)
0x00007E927A  ext2/3/4 superblock magic (@0x438)
0x00007EAB17  JFFS2 node (big-endian)
0x00007EBF16  ext2/3/4 superblock magic (@0x438)
0x00007F6DED  JFFS2 node (big-endian)
0x00007FAE72  ext2/3/4 superblock magic (@0x438)
0x00007FCDEA  JFFS2 node (big-endian)
0x00007FDEBA  JFFS2 node (little-endian)
0x00007FF1F0  JFFS2 node (big-endian)
0x00008010B7  JFFS2 node (little-endian)
0x0000803701  JFFS2 node (big-endian)
0x0000803AE1  JFFS2 node (little-endian)
0x0000808291  ext2/3/4 superblock magic (@0x438)
0x000081282F  ext2/3/4 superblock magic (@0x438)
0x0000828068  ext2/3/4 superblock magic (@0x438)
0x0000828A8F  JFFS2 node (big-endian)
0x000082B71C  ext2/3/4 superblock magic (@0x438)
0x000082F333  JFFS2 node (little-endian)
0x00008336D4  ext2/3/4 superblock magic (@0x438)
0x0000833BDA  ext2/3/4 superblock magic (@0x438)
0x0000838BD7  JFFS2 node (big-endian)
0x000083FE1B  ext2/3/4 superblock magic (@0x438)
0x000084079A  ext2/3/4 superblock magic (@0x438)
0x000084F1E3  JFFS2 node (little-endian)
0x0000862417  JFFS2 node (little-endian)
0x00008699C8  ext2/3/4 superblock magic (@0x438)
0x000086B34E  JFFS2 node (little-endian)
0x000086E84B  JFFS2 node (little-endian)
0x000086EA09  ext2/3/4 superblock magic (@0x438)
0x00008779D1  JFFS2 node (little-endian)
0x000087A19F  JFFS2 node (big-endian)
0x000087BEAB  JFFS2 node (big-endian)
0x0000893BBA  ext2/3/4 superblock magic (@0x438)
0x0000893E86  JFFS2 node (big-endian)
0x000089625E  ext2/3/4 superblock magic (@0x438)
0x000089CEED  JFFS2 node (big-endian)
0x000089D474  JFFS2 node (little-endian)
0x000089E822  JFFS2 node (big-endian)
0x00008A59F8  JFFS2 node (big-endian)
0x00008AAD07  JFFS2 node (little-endian)
0x00008AED5F  JFFS2 node (big-endian)
0x00008B4969  ext2/3/4 superblock magic (@0x438)
0x00008B5CD7  JFFS2 node (little-endian)
0x00008B8DD3  JFFS2 node (big-endian)
0x00008BB227  JFFS2 node (little-endian)
0x00008BC207  JFFS2 node (big-endian)
0x00008C129B  ext2/3/4 superblock magic (@0x438)
0x00008C90D2  JFFS2 node (little-endian)
0x00008CC1D6  ext2/3/4 superblock magic (@0x438)
0x00008CD1E5  JFFS2 node (little-endian)
0x00008CD75E  JFFS2 node (little-endian)
0x00008CDBB3  JFFS2 node (big-endian)
0x00008D0C54  ext2/3/4 superblock magic (@0x438)
0x00008D3FD3  JFFS2 node (little-endian)
0x00008D4403  ext2/3/4 superblock magic (@0x438)
0x00008DE719  JFFS2 node (little-endian)
0x00008E8949  JFFS2 node (big-endian)
0x00008E8A23  JFFS2 node (little-endian)
0x00008F9721  JFFS2 node (big-endian)
0x00008FEDC8  JFFS2 node (big-endian)
0x0000903CCC  ext2/3/4 superblock magic (@0x438)
0x000090AD08  JFFS2 node (big-endian)
0x000090CF7E  JFFS2 node (little-endian)
0x000090E720  ext2/3/4 superblock magic (@0x438)
0x0000914E87  JFFS2 node (big-endian)
0x000091596B  ext2/3/4 superblock magic (@0x438)
0x000091C851  JFFS2 node (big-endian)
0x000091EA00  JFFS2 node (big-endian)
0x0000926A2B  JFFS2 node (little-endian)
0x0000927E3C  JFFS2 node (big-endian)
0x0000927FD1  JFFS2 node (big-endian)
0x00009285C5  JFFS2 node (little-endian)
0x000092CFF0  JFFS2 node (little-endian)
0x000092DD2D  JFFS2 node (big-endian)
0x0000935D23  JFFS2 node (little-endian)
0x00009381FC  JFFS2 node (little-endian)
0x000093E9E2  JFFS2 node (little-endian)
0x0000941B13  JFFS2 node (little-endian)
0x0000942F00  JFFS2 node (big-endian)
0x0000943EA7  JFFS2 node (big-endian)
0x000094A6B9  JFFS2 node (little-endian)
0x000095008E  JFFS2 node (little-endian)
0x00009510EF  ext2/3/4 superblock magic (@0x438)
0x000095262A  JFFS2 node (little-endian)
0x00009601C7  JFFS2 node (big-endian)
0x000096343C  JFFS2 node (little-endian)
0x0000963D23  JFFS2 node (little-endian)
0x0000965E66  JFFS2 node (little-endian)
0x000096729E  JFFS2 node (little-endian)
0x000096CB62  JFFS2 node (little-endian)
0x000096FE71  JFFS2 node (little-endian)
0x00009725FA  ext2/3/4 superblock magic (@0x438)
0x0000976042  JFFS2 node (little-endian)
0x00009795F9  JFFS2 node (big-endian)
0x000097B36E  JFFS2 node (big-endian)
0x000097ECF0  ext2/3/4 superblock magic (@0x438)
0x000098DB4A  JFFS2 node (little-endian)
0x000098E838  JFFS2 node (big-endian)
0x00009924B5  JFFS2 node (little-endian)
0x000099AAA6  JFFS2 node (little-endian)
0x00009AD5F9  JFFS2 node (little-endian)
0x00009B5FCF  JFFS2 node (little-endian)
0x00009BC140  JFFS2 node (big-endian)
0x00009BD6E9  JFFS2 node (little-endian)
0x00009C7DC6  ext2/3/4 superblock magic (@0x438)
0x00009C982F  ext2/3/4 superblock magic (@0x438)
0x00009CC897  JFFS2 node (big-endian)
0x00009D5F0B  JFFS2 node (little-endian)
0x00009DA100  JFFS2 node (big-endian)
0x00009DC98E  JFFS2 node (little-endian)
0x00009DD295  ext2/3/4 superblock magic (@0x438)
0x00009DD9AC  JFFS2 node (little-endian)
0x00009DE95C  ext2/3/4 superblock magic (@0x438)
0x00009E3888  JFFS2 node (little-endian)
0x00009E7B79  JFFS2 node (little-endian)
0x00009F2D6B  JFFS2 node (big-endian)
0x00009F3420  JFFS2 node (big-endian)
0x00009FD2A7  JFFS2 node (big-endian)
0x0000A0258D  JFFS2 node (big-endian)
0x0000A038D7  JFFS2 node (big-endian)
0x0000A10498  JFFS2 node (big-endian)
0x0000A18343  ext2/3/4 superblock magic (@0x438)
0x0000A1E56F  ext2/3/4 superblock magic (@0x438)
0x0000A237DD  JFFS2 node (little-endian)
0x0000A245DB  ext2/3/4 superblock magic (@0x438)
0x0000A27746  JFFS2 node (little-endian)
0x0000A2AA2D  JFFS2 node (big-endian)
0x0000A33B10  JFFS2 node (little-endian)
0x0000A3581F  JFFS2 node (big-endian)
0x0000A35FBF  ext2/3/4 superblock magic (@0x438)
0x0000A36489  JFFS2 node (big-endian)
0x0000A38B2B  JFFS2 node (little-endian)
0x0000A41E21  JFFS2 node (big-endian)
0x0000A43A71  ext2/3/4 superblock magic (@0x438)
0x0000A4E5CE  JFFS2 node (little-endian)
0x0000A5158D  JFFS2 node (big-endian)
0x0000A5997A  ext2/3/4 superblock magic (@0x438)
0x0000A6B76F  JFFS2 node (big-endian)
0x0000A71AA1  JFFS2 node (big-endian)
0x0000A783A4  JFFS2 node (big-endian)
0x0000A7D2FB  JFFS2 node (big-endian)
0x0000A84268  JFFS2 node (little-endian)
0x0000A854F0  JFFS2 node (little-endian)
0x0000A888F2  ext2/3/4 superblock magic (@0x438)
0x0000A8FE38  ext2/3/4 superblock magic (@0x438)
0x0000A97DE7  ext2/3/4 superblock magic (@0x438)
0x0000A9AC61  JFFS2 node (big-endian)
0x0000AA297E  JFFS2 node (big-endian)
0x0000AA47F7  JFFS2 node (big-endian)
0x0000AA89B5  JFFS2 node (big-endian)
0x0000AA8A30  ext2/3/4 superblock magic (@0x438)
0x0000AAA116  JFFS2 node (big-endian)
0x0000AB01CB  JFFS2 node (big-endian)
0x0000AB10FB  JFFS2 node (big-endian)
0x0000AB6001  ext2/3/4 superblock magic (@0x438)
0x0000ABEC02  JFFS2 node (little-endian)
0x0000AC4CF7  JFFS2 node (big-endian)
0x0000ACC740  JFFS2 node (big-endian)
0x0000AD7D62  JFFS2 node (big-endian)
0x0000ADB09A  ext2/3/4 superblock magic (@0x438)
0x0000ADDECF  ext2/3/4 superblock magic (@0x438)
0x0000AF204A  JFFS2 node (little-endian)
0x0000AF3DD5  JFFS2 node (big-endian)
0x0000AFC5C8  ext2/3/4 superblock magic (@0x438)
0x0000AFE58D  ext2/3/4 superblock magic (@0x438)
0x0000AFE9D1  ext2/3/4 superblock magic (@0x438)
0x0000B01228  JFFS2 node (big-endian)
0x0000B07C74  ext2/3/4 superblock magic (@0x438)
0x0000B155CA  JFFS2 node (little-endian)
0x0000B17CE9  ext2/3/4 superblock magic (@0x438)
0x0000B17DAF  JFFS2 node (little-endian)
0x0000B18F69  ext2/3/4 superblock magic (@0x438)
0x0000B19246  JFFS2 node (big-endian)
0x0000B1CD59  ext2/3/4 superblock magic (@0x438)
0x0000B1D717  ext2/3/4 superblock magic (@0x438)
0x0000B1F4C7  JFFS2 node (little-endian)
0x0000B232BB  JFFS2 node (little-endian)
0x0000B25C07  ext2/3/4 superblock magic (@0x438)
0x0000B266FD  JFFS2 node (little-endian)
0x0000B26AF8  JFFS2 node (little-endian)
0x0000B2857D  JFFS2 node (big-endian)
0x0000B2DA13  JFFS2 node (little-endian)
0x0000B34513  JFFS2 node (little-endian)
0x0000B3851E  JFFS2 node (big-endian)
0x0000B39A4F  ext2/3/4 superblock magic (@0x438)
0x0000B3A02E  ext2/3/4 superblock magic (@0x438)
0x0000B3BE7F  ext2/3/4 superblock magic (@0x438)
0x0000B3D383  JFFS2 node (big-endian)
0x0000B40698  JFFS2 node (little-endian)
0x0000B43835  ext2/3/4 superblock magic (@0x438)
0x0000B4913B  ext2/3/4 superblock magic (@0x438)
0x0000B4FEB9  JFFS2 node (big-endian)
0x0000B58CCA  JFFS2 node (little-endian)
0x0000B69497  JFFS2 node (big-endian)
0x0000B69498  JFFS2 node (little-endian)
0x0000B70FB3  ext2/3/4 superblock magic (@0x438)
0x0000B78B33  JFFS2 node (big-endian)
0x0000B80F24  ext2/3/4 superblock magic (@0x438)
0x0000B8A25F  JFFS2 node (little-endian)
0x0000B8AD06  ext2/3/4 superblock magic (@0x438)
0x0000B8B271  JFFS2 node (little-endian)
0x0000B8DB41  JFFS2 node (little-endian)
0x0000B95FE4  ext2/3/4 superblock magic (@0x438)
0x0000B9665D  JFFS2 node (little-endian)
0x0000B9FB23  JFFS2 node (big-endian)
0x0000BA222F  ext2/3/4 superblock magic (@0x438)
0x0000BA5B7A  JFFS2 node (little-endian)
0x0000BA95D8  JFFS2 node (big-endian)
0x0000BAC15B  JFFS2 node (big-endian)
0x0000BAE474  ext2/3/4 superblock magic (@0x438)
0x0000BB1BA7  JFFS2 node (little-endian)
0x0000BB6410  JFFS2 node (little-endian)
0x0000BBB2D3  JFFS2 node (little-endian)
0x0000BBDBD1  ext2/3/4 superblock magic (@0x438)
0x0000BBEC38  ext2/3/4 superblock magic (@0x438)
0x0000BC49B0  JFFS2 node (little-endian)
0x0000BC7739  JFFS2 node (little-endian)
0x0000BCB260  JFFS2 node (little-endian)
0x0000BCC4E1  JFFS2 node (little-endian)
0x0000BCD872  JFFS2 node (big-endian)
0x0000BD215F  JFFS2 node (little-endian)
0x0000BD2E91  JFFS2 node (little-endian)
0x0000BD7137  JFFS2 node (little-endian)
0x0000BDD3D3  ext2/3/4 superblock magic (@0x438)
0x0000BDEAEE  JFFS2 node (little-endian)
0x0000BE11A1  JFFS2 node (big-endian)
0x0000BE7BD3  JFFS2 node (big-endian)
